COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CONV_COLL;Convention collective redressée par la Dares;0500;Convention collective nationale des entreprises de distribution en chaussure, jouet, textile et mercerie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0504;Industries alimentaires diverses;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0509;Convention collective des cadres administratifs de la presse quotidienne parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0509;Convention collective régionale des cadres administratifs de la presse quotidienne parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0528;Blanchisserie nord pas calais;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0530;Commerce bouches du rhone detail non alimentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0533;Convention collective nationale des employés, techniciens et agents de maîtrise du négoce des matériaux de construction;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0538;Convention collective nationale du personnel des entreprises de manutention ferroviaire et travaux connexes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0550;Tisf travailleuses familiales;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0562;Aide a domicile en milieu rural admr;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0564;Hotellerie isere;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0567;Convention collective nationale de la bijouterie, joaillerie, orfèvrerie et des activités qui s'y rattachent;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0572;Convention collective de la couture et de la haute-couture de la région rhône-alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0572;Convention collective régionale de la couture et de la haute-couture de la région rhône-alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0573;Convention collective nationale des commerces de gros;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0575;Convention collective pour le personnel des restaurants publics (chaînes);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0585;Convention collective départementale des ouvriers du bâtiment et des travaux publics de l'aube;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0595;Convention collective de l'industrie des fruits confits d'apt (vaucluse);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0598;Convention collective nationale de travail des ouvriers de la presse quotidienne régionale;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0599;Convention collective des ouvriers du bâtiment et des travaux publics de meurthe-et-moselle;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0601;Hotellerie alpes de haute provence;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0607;Hotellerie loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0614;Convention collective nationale des industries de la sérigraphie et des procédés d'impression numérique connexes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0614;Convention collective nationale des industries de la sérigraphie et des procédés d'impression numérique connexes (annexée à la convention collective nationale de l'imprimerie de labeur et des industries graphiques 0184);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0625;Convention collective nationale des cadres et agents de maîtrise des services généraux et administratifs des théâtres cinématographiques;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0627;Convention collective départementale des employés, techniciens et agents de maîtrise du bâtiment et des travaux publics de la réunion;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0635;Convention collective nationale du négoce en fournitures dentaires;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0635;Convention collective nationale du négoce en fournitures dentaires (annexée à la convention collective nationale des commerces de gros 0573);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0637;Convention collective des industries et du commerce de la récupération (recyclage, régions nord-pas-de-calais, picardie);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0637;Convention collective nationale des industries et du commerce de la récupération (recyclage, régions nord-pas-de-calais, picardie);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0650;Convention collective nationale des ingénieurs et cadres de la métallurgie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0652;Convention collective nationale des cadres du négoce des matériaux de construction;CHAR;4
